% X;Y;w (m) @ lambda=1;w (m) @ lambda=2;w (m) @ lambda=3;w (m) @ lambda=4;w (m) @ lambda=5;w (m) @ lambda=6;w (m) @ lambda=7;w (m) @ lambda=8;w (m) @ lambda=9;w (m) @ lambda=10;w (m) @ lambda=11;w (m) @ lambda=12;w (m) @ lambda=13;w (m) @ lambda=14;w (m) @ lambda=15;w (m) @ lambda=16;w (m) @ lambda=17;w (m) @ lambda=18;w (m) @ lambda=19;w (m) @ lambda=20;w (m) @ lambda=21;w (m) @ lambda=22;w (m) @ lambda=23;w (m) @ lambda=24;w (m) @ lambda=25;w (m) @ lambda=26;w (m) @ lambda=27;w (m) @ lambda=28;w (m) @ lambda=29;w (m) @ lambda=30
6.7;0.5;2.081828653329644E-7;-5.765802794617924E-7;1.9922214477507106E-6;-8.948438521168067E-6;-3.0301540411391873E-6;1.198170287081895E-5;5.0472397877148214E-6;9.792496385890568E-6;2.639080848351818E-6;-5.972284220614405E-7;-5.708132171105824E-6;-4.136167221730454E-6;-7.996126908409646E-6;-4.983216136853723E-6;1.0071650370949003E-5;2.5967881160804444E-6;-8.036458052510337E-6;-5.219935157363965E-6;-4.720562136704266E-6;1.6282158181059256E-6;2.2225009520312144E-6;5.306463627439779E-7;8.452187519874157E-6;4.433914863411607E-7;3.247975821025537E-6;-6.8427954759901414E-6;1.63315649350295E-6;3.305668537958708E-6;3.7342535547725837E-6;5.474077045457963E-6
6.8999999999999995;0.5;1.949800426859194E-7;-6.172527744867947E-7;2.098305530414168E-6;-9.216384868429567E-6;-2.74812349339459E-6;1.1921272333757258E-5;5.609942953342377E-6;9.298975541190602E-6;3.0778238779321044E-6;1.6101495379723798E-7;-5.595198995480594E-6;-4.288026851358603E-6;-8.110056762490133E-6;-4.02195181403384E-6;1.0509484669440814E-5;2.4130229213088545E-6;-8.234040811456978E-6;-4.195839459511296E-6;-5.981109080526157E-6;6.882385284877373E-7;3.349540695926427E-6;9.731663291921073E-7;8.34727642219053E-6;-9.27609946967541E-7;3.8066729740997465E-6;-5.458780522264763E-6;4.232448262222657E-7;1.7235211179058862E-6;2.7308218087092292E-6;5.911424030420786E-6
7.1;0.5;1.8177722117105958E-7;-6.579252468454755E-7;2.204389562128777E-6;-9.484331044086215E-6;-2.466092962201934E-6;1.1860841496955545E-5;6.162956064787324E-6;8.760964914170935E-6;3.553150630691067E-6;9.448026984374029E-7;-5.43359429610975E-6;-4.489239036531912E-6;-8.027300141001919E-6;-3.0013175172256677E-6;1.0739126054550351E-5;2.0993204513988307E-6;-8.181077548402494E-6;-3.104335575418499E-6;-7.099216801912412E-6;-1.1834934519819997E-7;4.354847520335933E-6;1.2879199999811068E-6;7.970249469628513E-6;-2.1825322833886557E-6;4.1972122682576025E-6;-3.8472584200493125E-6;-9.822169513910964E-7;-8.129664745763391E-8;1.5874536208152882E-6;6.112802109978328E-6
7.3;0.5;1.6857439876594844E-7;-6.985976962955048E-7;2.310473547257197E-6;-9.752277051833023E-6;-2.184062454893196E-6;1.180041037962753E-5;6.7056229876285665E-6;8.181443199071865E-6;4.061629815485476E-6;1.7486488899718745E-6;-5.226134161070924E-6;-4.736445736627569E-6;-7.745306576788281E-6;-1.934158160135458E-6;1.0758021504406135E-5;1.65750286023279E-6;-7.879312916451021E-6;-1.96683489956741E-6;-8.020321518957816E-6;-7.483356372635867E-7;5.189465162906467E-6;1.4486169906368311E-6;7.335008002469307E-6;-3.2709886579454454E-6;4.383548317810616E-6;-2.142964297622709E-6;-2.4741848496949223E-6;-1.9738805240419594E-6;4.0967037679332214E-7;6.060466154446055E-6
7.5;0.5;1.5537157367879548E-7;-7.39270122814505E-7;2.416557490558144E-6;-1.0020222898717232E-5;-1.902031977228455E-6;1.1739979003763556E-5;7.237397569755587E-6;7.563553656345038E-6;4.599687660805636E-6;2.5670668068106538E-6;-4.9759427095472645E-6;-5.0253187060249314E-6;-7.265845932188688E-6;-8.335839394976248E-7;1.0568002673052797E-5;1.092731002736557E-6;-7.337283998422102E-6;-8.051923296365079E-7;-8.69825158586786E-6;-1.166593137109483E-6;5.812069261386534E-6;1.436198855631809E-6;6.463702109020434E-6;-4.150997438888027E-6;4.339904618492825E-6;-4.875417262137583E-7;-3.935974919431406E-6;-3.8112242164950524E-6;-6.934079297551255E-7;5.747786011853853E-6
7.7;0.5;1.4216874485800264E-7;-7.79942527641456E-7;2.522641397466107E-6;-1.0288168596464418E-5;-1.6200015335771288E-6;1.1679547395914828E-5;7.757862149693075E-6;6.91055795700457E-6;5.163666298530207E-6;3.3946837851404404E-6;-4.686396053151632E-6;-5.3506673821238895E-6;-6.594839934391049E-6;2.873381472508107E-7;1.0175109773854296E-5;4.132738868263781E-7;-6.569878967124583E-6;3.589760319541027E-7;-9.097186121359955E-6;-1.3478396898089185E-6;6.190909467617361E-6;1.2397945171959711E-6;5.385663932812267E-6;-4.790897187015057E-6;4.052246871081221E-6;9.819577315298718E-7;-5.252043052258506E-6;-5.4532338717159464E-6;-1.6182395370199978E-6;5.179915887850977E-6
7.9;0.5;1.2896591212653425E-7;-8.20614913461378E-7;2.6287252740369856E-6;-1.0556114161543671E-5;-1.3379711269245517E-6;1.1619115587304849E-5;8.266740907906458E-6;6.225800369648874E-6;5.749879166365099E-6;4.2263450919448626E-6;-4.361062181457958E-6;-5.706600993000907E-6;-5.7420540290068555E-6;1.4158868955968978E-6;9.58924978896623E-6;-3.69849821520808E-7;-5.597576386135725E-6;1.504917160955308E-6;-9.192958750000463E-6;-1.2776432098654172E-6;6.3050604695276165E-6;8.571087963562755E-7;4.1359696858457335E-6;-5.1704236486860085E-6;3.51891808840953E-6;2.143500663750295E-6;-6.316437547361203E-6;-6.773028792653176E-6;-2.275120647403638E-6;4.373635075609561E-6
8.100000000000001;0.5;1.1576307560094567E-7;-8.612872832530598E-7;2.734809126566548E-6;-1.0824059613603601E-5;-1.0559407587435174E-6;1.1558683611816363E-5;8.763915641071462E-6;5.512671302769218E-6;6.354672233343672E-6;5.057222591976657E-6;-4.003652590042242E-6;-6.086732308765186E-6;-4.720713910913645E-6;2.5399661483581974E-6;8.823845680507083E-6;-1.2433123318264746E-6;-4.445686239450754E-6;2.613294121007959E-6;-8.973919083921733E-6;-9.528677775430793E-7;6.145242887212704E-6;2.943745346324462E-7;2.7541803555683344E-6;-5.28139161892717E-6;2.750740219080972E-6;2.8990084829090465E-6;-7.0406220217303314E-6;-7.666333207318383E-6;-2.595162350098508E-6;3.357135130107247E-6
8.299999999999999;0.5;1.0256023540360358E-7;-9.019596397416353E-7;2.840892961278292E-6;-1.1092004974174592E-5;-7.739104289803088E-7;1.1498251504272538E-5;9.249438868431289E-6;4.774560978234006E-6;6.974483731123351E-6;5.882927775276442E-6;-3.6179428773197737E-6;-6.4843464094207314E-6;-3.5469619987662485E-6;3.6484449335383186E-6;7.895207958035025E-6;-2.192007822038212E-6;-3.143082906313264E-6;3.6667764138690046E-6;-8.440903845575834E-6;-3.816401604080488E-7;5.713787704688251E-6;-4.3407537950121295E-7;1.282288483879851E-6;-5.1273961297253804E-6;1.7701437988074825E-6;3.1818452598625816E-6;-7.359361544855818E-6;-8.058491693675118E-6;-2.535882088423443E-6;2.1681952061058398E-6
8.5;0.5;8.93573915421515E-8;-9.426319853540705E-7;2.946976784182629E-6;-1.1359950265271201E-5;-4.918801361610873E-7;1.1437819298620023E-5;9.723551684261835E-6;4.0148122448588305E-6;7.605928769476376E-6;6.69965689249674E-6;-3.2077072498289947E-6;-6.892722987640365E-6;-2.2391835376573204E-6;4.731545085601618E-6;6.821912764927281E-6;-3.1997944435827935E-6;-1.7208575228201735E-6;4.650697877249111E-6;-7.606777740342536E-6;4.1766305692715085E-7;5.024095173557162E-6;-1.3070284656613002E-6;-2.3724478711756428E-7;-4.7230867278452495E-6;6.094342499610071E-7;2.960796648469775E-6;-7.235372248505969E-6;-7.909627325595318E-6;-2.0838042998050526E-6;8.521505726048543E-7
8.7;0.5;7.615454378672041E-8;-9.833043220622959E-7;3.0530606008287335E-6;-1.1627895508168967E-5;-2.0984987756052317E-7;1.1377387026494172E-5;1.0186715412483449E-5;3.2366870635546736E-6;8.245853054696055E-6;7.50433327773119E-6;-2.7766708459562126E-6;-7.305341711057029E-6;-8.173523224238712E-7;5.7812460825824824E-6;5.624148797754962E-6;-4.250177274664925E-6;-2.1087281671850446E-7;5.553687758816766E-6;-6.495154698122136E-6;1.4176862622796176E-6;4.0993797450700045E-6;-2.2977614204835225E-6;-1.7636325960303975E-6;-4.0927905655807575E-6;-6.915129829701634E-7;2.2413113537120316E-6;-6.660620430287425E-6;-7.2159351528652E-6;-1.254766244669537E-6;-5.409907158900532E-7
8.9;0.5;6.295169176989176E-8;-1.0239766514152945E-6;3.1591444161352726E-6;-1.1895840722841171E-5;7.218035057707066E-8;1.1316954716396336E-5;1.0639627616293801E-5;2.4433087918763795E-6;8.891426781549549E-6;8.294768238741228E-6;-2.32842293925118E-6;-7.716236014049162E-6;6.978830018559892E-7;6.791745369821564E-6;4.322810379314436E-6;-5.327246805987218E-6;1.3561441854410252E-6;6.36834824874145E-6;-5.138440307671033E-6;2.5843427979586326E-6;2.970641705923851E-6;-3.37619059991959E-6;-3.2603868165205926E-6;-3.2682177533335055E-6;-2.088668558776457E-6;1.0631716329799668E-6;-5.655551424729315E-6;-6.008129345498194E-6;-9.107618491875106E-8;-1.96050276767588E-6
